from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_exact_match
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,4,linear,2495,5,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2495-512-{5}seg_mem10_bs32_regular_from_cpt_4-5/run_1,False,,False,,3420,94.80000305175781
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,998,2,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_998-512-{2}seg_mem10_bs32_regular_from_cpt_1-2/run_1,False,,False,,6000,95.5
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,4,linear,499,1,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{1}seg_mem10_bs32_regular_from_cpt_0-1/run_2,False,,False,,6000,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,4,linear,499,1,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{1}seg_mem10_bs32_regular_from_cpt_0-1/run_1,False,,False,,120,17.299999237060547
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,4,linear,499,1,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{1}seg_mem10_bs32_regular_from_cpt_0-1/run_1,False,,False,,6000,99.5999984741211
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,0.0001,2,4,linear,998,2,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_998-512-{2}seg_mem10_bs32_regular_from_cpt_1-2/run_1,False,,False,,6000,93.6500015258789
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,1497,3,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1497-512-{3}seg_mem10_bs32_regular_from_cpt_2-3/run_1,False,,False,,6000,96.94999694824219
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,1996,4,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1996-512-{4}seg_mem10_bs32_regular_from_cpt_3-4/run_1,False,,False,,6000,96.80000305175781
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,4,linear,499,1,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{1}seg_mem10_bs32_regular_from_cpt_0-1/run_2,False,,False,,6000,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,4,linear,499,1,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{1}seg_mem10_bs32_regular_from_cpt_0-1/run_1,False,,False,,120,17.299999237060547
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,4,linear,499,1,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{1}seg_mem10_bs32_regular_from_cpt_0-1/run_1,False,,False,,6000,99.5999984741211
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,4,constant_with_warmup,998,2,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/constant_with_warmup_adamw_wd1e-03_998-512-{2}seg_mem10_bs32_regular_from_cpt_1-2/run_1,False,,False,,6800,95.80000305175781
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,0.0001,2,4,linear,1497,3,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_1497-512-{3}seg_mem10_bs32_regular_from_cpt_2-3/run_1,False,,False,,540,83.25
