task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_exact_match
contract_nli,bert-base-cased,,modeling_rmt.experimental:RMTEncoderWeighSegLoss,encoder,1e-05,2,4,linear,998,2,512,10,regular,../runs/curriculum/contract_nli/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_998-512-{2}seg_mem10_bs32_iters8000_regular_weigh_loss_from_cpt_1-2/run_1,True,,False,,8000,72.11538696289062
contract_nli,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,5e-05,2,4,constant_with_warmup,1600,3,512,10,regular,../runs/curriculum/contract_nli/bert-base-cased/lr5e-05_constant_with_warmup_adamw_wd1e-03_1600-512-{3}seg_mem10_bs32_iters8000_regular_from_cpt/run_1,False,,False,,8000,56.05769348144531
contract_nli,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,4,linear,2994,6,512,10,regular,../runs/curriculum/contract_nli/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2994-512-{6}seg_mem10_bs32_iters8000_regular_sum_loss_from_cpt_5-6/run_1,True,,False,,8000,70.76923370361328
contract_nli,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,2,linear,1996,4,512,10,regular,../runs/curriculum/contract_nli/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1996-512-{4}seg_mem10_bs32_iters5000_regular_from_cpt_3-4/run_1,False,,False,,5000,54.72061538696289
contract_nli,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-06,1,4,constant_with_warmup,2600,4,512,10,regular,../runs/curriculum/contract_nli/bert-base-cased/lr1e-06_constant_with_warmup_adamw_wd1e-03_2600-512-{4}seg_mem10_bs32_iters8000_regular_from_cpt/run_1,False,,False,,8000,66.34615325927734
contract_nli,bert-base-cased,,modeling_rmt.experimental:RMTEncoderTaskMemLoss,encoder,1e-05,2,2,linear,998,2,512,10,regular,../runs/curriculum/contract_nli/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_998-512-{2}seg_mem10_bs32_iters8000_regular_mem_task_loss_avg_c1e-02_sum_loss_from_cpt_1-2/run_1,True,,False,,8000,72.54335021972656
contract_nli,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,1996,4,512,10,regular,../runs/curriculum/contract_nli/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1996-512-{4}seg_mem10_bs32_iters4000_regular_sum_loss_from_cpt_3-4/run_1,True,,False,,4000,71.05769348144531
contract_nli,bert-base-cased,,modeling_rmt.experimental:RMTEncoderTaskMemLoss,encoder,1e-05,2,2,linear,1996,4,512,10,regular,../runs/curriculum/contract_nli/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1996-512-{4}seg_mem10_bs32_iters8000_regular_mem_task_loss_avg_c1e-02_sum_loss_from_cpt_3-4/run_1,True,,False,,8000,72.25433349609375
contract_nli,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,linear,3493,7,512,10,regular,../runs/curriculum/contract_nli/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_3493-512-{7}seg_mem10_bs32_iters5000_regular_from_cpt_6-7/run_1,False,,False,,5000,57.41810989379883
contract_nli,bert-base-cased,,modeling_rmt.experimental:RMTEncoderTaskMemLoss,encoder,1e-05,1,2,linear,2495,5,512,10,regular,../runs/curriculum/contract_nli/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2495-512-{5}seg_mem10_bs32_iters8000_regular_mem_task_loss_avg_c1e-02_sum_loss_from_cpt_4-5/run_1,True,,False,,8000,71.29094696044922
