task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,num_mem_tokens,segment_ordering,model_path,sum_loss,num_steps,best_valid_f1
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,1,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem1_bs32_iters5000_regular/run_1,False,5000,10.00220012664795
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,1,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem1_bs32_iters5000_regular/run_1,False,0,0.0
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,1024,3,1,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{3}seg_mem1_bs32_iters5000_regular/run_1,False,50,0.0
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,1024,3,1,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{3}seg_mem1_bs32_iters5000_regular/run_1,False,50,0.0
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,1024,4,1,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{4}seg_mem1_bs32_iters5000_regular/run_1,False,50,0.0
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,1,10,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem10_bs32_iters5000_regular/run_1,False,5000,19.44930076599121
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,2,10,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{2}seg_mem10_bs32_iters5000_regular/run_3,False,5000,9.484100341796875
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,2,10,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{2}seg_mem10_bs32_iters5000_regular/run_2,False,5000,10.677300453186035
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,3,1,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{3}seg_mem1_bs32_iters5000_regular/run_1,False,50,0.0
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,1,1,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem1_bs32_iters5000_regular/run_1,False,5000,20.06800079345703
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,2,25,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{2}seg_mem25_bs32_iters5000_regular/run_3,False,5000,10.151700019836426
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,2,25,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{2}seg_mem25_bs32_iters5000_regular/run_2,False,5000,10.546699523925781
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,3,0,regular,../runs/finetune/all_seg/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{3}seg_mem0_bs32_iters5000_regular/run_1,False,50,5.061299800872803
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,2,10,regular,../runs/finetune/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{2}seg_mem10_bs32_iters5000_regular/run_2,False,5000,9.550399780273438
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,2,10,regular,../runs/finetune/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{2}seg_mem10_bs32_iters5000_regular/run_1,False,5000,9.741700172424316
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,3,10,regular,../runs/finetune/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{3}seg_mem10_bs32_iters5000_regular/run_2,False,5000,9.141400337219238
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,3,10,regular,../runs/finetune/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{3}seg_mem10_bs32_iters5000_regular/run_1,False,5000,8.251399993896484
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,4,25,regular,../runs/finetune/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{4}seg_mem25_bs32_iters5000_regular/run_2,False,5000,10.363800048828125
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,4,25,regular,../runs/finetune/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{4}seg_mem25_bs32_iters5000_regular/run_1,False,5000,9.792499542236328
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,3,25,regular,../runs/finetune/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{3}seg_mem25_bs32_iters5000_regular/run_2,False,5000,8.804200172424316
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,3,25,regular,../runs/finetune/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{3}seg_mem25_bs32_iters5000_regular/run_1,False,5000,8.904500007629395
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,4,10,regular,../runs/finetune/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{4}seg_mem10_bs32_iters5000_regular/run_2,False,5000,9.953200340270996
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2100,4,10,regular,../runs/finetune/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2100-1024-{4}seg_mem10_bs32_iters5000_regular/run_1,False,5000,10.119600296020508
